Baillie	geonames:9545205	CA	70.56064	-128.01304
Nicol	geonames:6088123	CA	47.63346	-80.71646
Jarvie	geonames:5985869	CA	54.45015	-113.9854
Baillie	geonames:9545205	CA	70.56064	-128.01304
Nicol	geonames:6088123	CA	47.63346	-80.71646
Jarvie	geonames:5985869	CA	54.45015	-113.9854
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Rob Roy	geonames:6125872	CA	44.38596	-80.31104
Covent Garden	geonames:2652222	GB	51.51424	-0.12471
London	geonames:2643743	GB	51.50853	-0.12574
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
