Berwick-upon-Tweed				
Northumberland				
Berwick				
Sir Walter Scott				
Halidon Hill				
Halidon Hill				
Berwick-upon-Tweed				
Sir Walter Scott				
Bart				
Cadell				
Berwick-upon-Tweed				
Halidon Hill				
