Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Castle Street	geonames:8666314	AU	-33.9035	151.24165
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
North Castle Street	geonames:8666314	AU	-33.9035	151.24165
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Maida	geonames:1312293	MM	25.44849	97.94214
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
North Castle Street	geonames:8666314	AU	-33.9035	151.24165
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Claverhouse	geonames:5923395	CA	46.07744	-61.14842
National Portrait Gallery	geonames:6619834	GB	51.50936	-0.12777
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Scotland	geonames:2638360	GB	56	-4
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
