Rumeli Fortress				
Bosporus	geonames:745043	TR	41.05722	29.04333
Rumeli Hisar	geonames:740477	TR	41.08802	29.05601
Istanbul	geonames:745042	TR	41.03508	28.98331
Turkey	geonames:298795	TR	39	35
Bosporus	geonames:745043	TR	41.05722	29.04333
Paris	geonames:2988507	FR	48.85341	2.3488
Constantinople	geonames:745044	TR	41.01384	28.94966
Rumeli Hisar	geonames:740477	TR	41.08802	29.05601
Paris	geonames:2988507	FR	48.85341	2.3488
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Bosporus	geonames:745043	TR	41.05722	29.04333
Rumeli Hisar	geonames:740477	TR	41.08802	29.05601
