Scotland	geonames:2638360	GB	56	-4
Edinburgh Castle Albumen				
Scotland	geonames:2638360	GB	56	-4
England	geonames:6269131	GB	52.16045	-0.70312
Scotland	geonames:2638360	GB	56	-4
Scotland	geonames:2638360	GB	56	-4
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
England	geonames:6269131	GB	52.16045	-0.70312
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Scotland	geonames:2638360	GB	56	-4
Scotland	geonames:2638360	GB	56	-4
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Edinburgh Edinburgh				
