Ravenswood	geonames:2152045	AU	-36.9	144.21667
Ravenswood	geonames:2152045	AU	-36.9	144.21667
Lammermoor	geonames:8349424	AU	-23.16076	150.76079
Ravenswood	geonames:2152045	AU	-36.9	144.21667
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Lammermoor	geonames:8349424	AU	-23.16076	150.76079
Ravenswood	geonames:2152045	AU	-36.9	144.21667
Ravenswood	geonames:2152045	AU	-36.9	144.21667
London	geonames:2643743	GB	51.50853	-0.12574
Ravenswood	geonames:2152045	AU	-36.9	144.21667
London	geonames:2643743	GB	51.50853	-0.12574
Cassell	geonames:2278065	LR	7.04556	-10.75972
