Handel	geonames:2754897	NL	51.58	5.70972
Handel	geonames:2754897	NL	51.58	5.70972
Georg	geonames:3558345	CU	20.9	-78.16667
Friedrich	geonames:2924665	DE	50.75	6.03333
Handel	geonames:2754897	NL	51.58	5.70972
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Handel	geonames:2754897	NL	51.58	5.70972
Abbotsford	geonames:5881791	CA	49.05798	-122.25257
Handel	geonames:2754897	NL	51.58	5.70972
Dryden	geonames:5942912	CA	43.815	-80.88611
Handel	geonames:2754897	NL	51.58	5.70972
Handel	geonames:2754897	NL	51.58	5.70972
Perth	geonames:2063523	AU	-31.95224	115.8614
Handel	geonames:2754897	NL	51.58	5.70972
National Portrait Gallery	geonames:6619834	GB	51.50936	-0.12777
London	geonames:2643743	GB	51.50853	-0.12574
