Barnbugle				
Firth of Forth	geonames:2649178	GB	56.13713	-2.7713
Laurieston	geonames:2644808	GB	54.96667	-4.05
Barnbougle Castle				
Firth of Forth	geonames:2649178	GB	56.13713	-2.7713
Firth of Forth	geonames:2649178	GB	56.13713	-2.7713
Lauriston Castle				
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Scotland	geonames:2638360	GB	56	-4
Roseberry	geonames:907770	ZM	-11.19976	28.89431
Abbotsford	geonames:5881791	CA	49.05798	-122.25257
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Barnbougle Castle				
