Highland Hills	geonames:4327422	US	30.38686	-91.13955
Teith	geonames:880356	ZW	-18.36649	30.38754
Highland Hills	geonames:4327422	US	30.38686	-91.13955
Callander	geonames:5913550	CA	46.2168	-79.36632
River Teith	geonames:2636128	GB	56.13333	-3.98333
Perthshire	geonames:2640357	GB	56.5	-4
Menteith district	geonames:6072118	CA	49.5589	-100.4437
River Teith	geonames:2636128	GB	56.13333	-3.98333
Doune	geonames:2421585	GN	10.51667	-11.9
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Teith	geonames:880356	ZW	-18.36649	30.38754
