Nidpath				
Peebles				
Neidpath				
River Tweed				
Neidpath Castle				
Peebles				
Sir Walter Scott				
Neidpath				
Neidpath				
Neidpath				
Peebles				
Neidpath				
Glasgow				
Blackie				
Neidpath				
