Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Bart	geonames:2038427	CN	47.83333	119.46667
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Bowhill	geonames:2075936	AU	-34.9	139.61667
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Bart	geonames:2038427	CN	47.83333	119.46667
Lockhart, J. G				
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Bart	geonames:2038427	CN	47.83333	119.46667
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Cadell	geonames:2075200	AU	-34.03881	139.76388
