Dumfries	geonames:2650798	GB	55.06959	-3.61139
Dumfries	geonames:2650798	GB	55.06959	-3.61139
Scotland	geonames:2638360	GB	56	-4
River Nith	geonames:2641482	GB	54.99928	-3.57562
Dumfries	geonames:2650798	GB	55.06959	-3.61139
Fairford	geonames:2649741	GB	51.70816	-1.78128
Dumfries	geonames:2650798	GB	55.06959	-3.61139
Dumfries	geonames:2650798	GB	55.06959	-3.61139
Galloway	geonames:2641645	GB	55.07356	-4.14083
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
Dumfries	geonames:2650798	GB	55.06959	-3.61139
